"StationName" "Latitude" "Longitude" "Elevation" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
"30" "GQC00914156" 13.52 144.8472 106.7 505 427 293 392 466 773 1279 1576 1321 1056 950 628
"31" "GQC00914468" 13.4528 144.7981 18.3 477 383 263 307 419 677 1156 1541 1210 1101 914 566
"32" "GQC00914950" 13.5478 144.8928 160 495 381 353 288 358 464 874 1204 876 789 716 461
"33" "GQW00041415" 13.4836 144.7961 77.4 496 453 277 358 430 709 1214 1715 1417 1180 917 598
"34" "JQW00021603" 16.7333 -169.5167 3 191 132 214 184 101 90 133 203 271 366 488 274
"35" "MQW00022701" 28.2 -177.3833 5.5 471 380 268 334 215 151 281 422 445 358 272 314
"36" "PSC00914519" 7.45 134.5 31.1 1039 900 890 848 1266 1780 1672 1317 1248 1242 1163 1175
"37" "PSW00040309" 7.3333 134.4833 28.7 1109 954 827 819 1252 1801 1812 1392 1209 1206 1190 1193
"38" "RMC00913915" 7.2667 168.8333 1.8 630 492 610 732 1078 1092 1153 1065 1066 1097 1352 928
"39" "RMC00914304" 5.9167 169.65 1.8 972 622 1019 1184 1085 1037 1262 1136 1125 1111 1037 1040
"40" "RMC00914487" 6.0833 171.7333 3 849 908 749 1045 992 1014 1338 990 1047 929 961 1130
"41" "RMC00914903" 9.4667 170.25 1.8 242 156 203 351 492 561 431 526 774 870 772 470
"42" "RMW00040604" 8.7333 167.7333 2.1 401 330 356 621 661 786 985 1040 1089 1183 1107 813
"43" "RMW00040710" 7.0833 171.3833 3 828 762 755 963 986 1093 1193 1142 1214 1327 1323 1156
"44" "RQC00660040" 18.1469 -66.4919 598.9 260 260 300 684 826 550 449 764 1178 1357 693 324
"45" "RQC00660053" 18.1614 -66.7222 506 327 208 320 587 933 530 598 916 1429 1009 623 284
"46" "RQC00660061" 18.1747 -66.7978 557.8 250 253 376 723 953 496 598 836 1250 1140 669 317
"47" "RQC00660152" 17.9556 -66.2222 7.6 148 110 115 137 443 344 364 398 632 628 465 188
"48" "RQC00660158" 18.1281 -66.2642 710.2 297 309 302 438 592 304 364 450 928 795 816 428
"49" "RQC00660426" 18.3494 -66.7525 323.1 408 355 426 758 1158 651 667 833 936 1009 727 485
"50" "RQC00660668" 18.4286 -66.5631 73.2 461 282 295 554 813 520 408 479 574 640 724 506
"51" "RQC00660948" 17.9906 -66.8161 4.6 121 142 136 242 474 298 219 329 578 571 465 151
"52" "RQC00661142" 18.2258 -66.5039 554.7 478 364 472 816 1068 462 428 758 1128 1098 900 514
"53" "RQC00661309" 18.2333 -66.05 79.2 288 266 291 454 673 418 580 598 607 712 746 466
"54" "RQC00661345" 18.4725 -67.1156 85 315 240 299 430 709 574 434 535 589 735 523 389
"55" "RQC00661590" 18.3792 -65.8939 9.1 576 385 296 582 739 521 782 756 732 668 913 780
"56" "RQC00661901" 18.1189 -66.1658 395 328 249 241 397 552 372 564 556 898 631 729 392
"57" "RQC00662316" 17.9833 -66.8167 9.1 111 122 119 266 383 194 183 285 543 670 348 106
"58" "RQC00662330" 18.2764 -66.5194 291.1 472 344 476 887 1116 518 426 698 1070 1165 734 523
"59" "RQC00662336" 18.1547 -66.562 1219.8 381 364 512 857 1214 706 609 1039 1368 1566 903 413
"60" "RQC00662634" 18.1833 -66.15 426.7 432 329 287 558 665 428 600 639 753 620 690 489
"61" "RQC00662723" 18.0664 -66.3781 111.3 100 146 192 296 439 284 191 470 808 737 465 154
"62" "RQC00662801" 18.3808 -67.1569 12.2 220 237 316 498 1011 910 778 1014 928 921 472 273
"63" "RQC00662934" 18.3267 -66.3592 198.1 476 370 460 796 934 380 529 643 879 914 762 633
"64" "RQC00663023" 18.0836 -66.6547 175 205 188 275 499 677 356 404 636 988 1112 644 244
"65" "RQC00663409" 18.4722 -66.3058 1.5 546 372 206 517 654 403 612 579 593 575 777 611
"66" "RQC00663431" 18.3361 -66.6667 61 353 296 381 700 1064 578 489 747 919 948 711 460
"67" "RQC00663532" 17.9728 -66.9458 45.7 138 96 151 262 365 198 241 329 471 583 397 146
"68" "RQC00663657" 18.3103 -65.6631 9.1 442 307 270 341 836 544 591 540 684 800 799 575
"69" "RQC00663904" 18.3964 -66.9244 202.1 425 311 472 685 1079 644 507 704 861 814 692 418
"70" "RQC00664126" 18.0742 -66.4967 112.8 151 174 211 351 555 338 304 545 801 802 567 174
"71" "RQC00664193" 17.9783 -66.0875 21.9 247 194 176 225 575 518 551 589 693 829 581 279
"72" "RQC00664276" 18.2583 -65.9922 48.8 357 271 317 425 576 447 580 737 849 736 716 495
"73" "RQC00664340" 18.45 -66.7667 64.9 269 287 287 613 683 285 359 457 513 658 714 478
"74" "RQC00664702" 18.4653 -67.0525 128 350 283 352 535 786 589 518 607 653 752 605 466
"75" "RQC00664867" 18.0717 -66.1428 719.3 471 388 338 443 723 589 695 700 870 979 879 540
"76" "RQC00664910" 18.215 -66.5931 469.4 427 301 338 680 945 465 484 881 1418 1098 818 398
"77" "RQC00665020" 18.0514 -66.4986 79.9 101 156 189 362 499 249 284 433 653 682 464 143
"78" "RQC00665064" 18.2264 -65.9114 64.9 346 284 272 448 680 587 658 645 921 828 753 415
"79" "RQC00665097" 18.0331 -67.0722 27.4 251 212 219 343 514 270 313 523 620 729 571 233
"80" "RQC00665123" 18.3167 -66.1 88.4 425 360 397 605 756 469 638 709 808 821 760 515
"81" "RQC00665693" 17.9722 -67.0461 3.7 182 179 220 383 408 283 305 400 561 688 539 187
"82" "RQC00665807" 18.4308 -66.4661 76.2 465 316 306 526 757 345 459 466 572 601 763 588
"83" "RQC00665908" 18.1511 -66.9889 863.2 342 312 384 757 1203 647 902 1071 1164 1216 760 325
"84" "RQC00666050" 18.0094 -65.8989 14.9 425 337 269 396 597 557 638 693 899 904 909 594
"85" "RQC00666073" 18.1875 -67.1378 22.6 113 203 272 487 676 517 663 831 872 720 390 201
"86" "RQC00666083" 18.2539 -67.1486 11.6 148 196 260 611 931 894 1203 1138 1203 1065 690 194
"87" "RQC00666258" 18.0908 -67.9442 2.1 176 196 176 229 437 352 270 366 508 546 380 265
"88" "RQC00666270" 18.3794 -66.5153 195.1 415 312 291 665 937 403 362 416 694 832 668 618
"89" "RQC00666361" 18.4736 -67.0289 125 369 271 357 531 767 501 475 528 603 630 588 443
"90" "RQC00666390" 18.3344 -66.4078 182.9 422 323 358 692 1041 373 440 637 835 857 792 539
"91" "RQC00666514" 18.2886 -66.3433 538.3 569 368 451 804 852 317 461 570 898 825 851 565
"92" "RQC00666805" 18.265 -65.7208 109.7 634 500 553 731 1040 776 769 835 997 1079 1206 893
"93" "RQC00666900" 18.0025 -66.0128 13.7 370 275 176 186 449 472 650 506 755 691 679 365
"94" "RQC00666983" 18.0586 -66.7183 143.3 247 205 273 478 609 291 292 558 980 994 629 271
"95" "RQC00666992" 18.2708 -65.7592 1051 1311 1060 1054 1119 1813 1303 1407 1524 1480 1701 1888 1588
"96" "RQC00667292" 18.0258 -66.5253 21.3 91 127 183 253 464 233 262 416 637 610 432 139
"97" "RQC00667295" 17.985 -66.6294 3 83 83 122 194 372 214 147 258 455 503 328 142
"98" "RQC00668126" 18.3375 -67.2497 3 217 207 245 471 676 566 593 692 807 760 429 331
"99" "RQC00668144" 18.2433 -65.785 39.6 642 556 515 634 1115 870 892 961 1238 1085 1285 918
"100" "RQC00668306" 18.3906 -66.0542 28 479 319 352 580 717 454 670 644 739 679 806 639
"101" "RQC00668814" 18.4256 -65.9917 8.5 434 303 252 554 805 536 624 585 898 805 918 597
"102" "RQC00668815" 18.1517 -65.9589 155.4 538 433 434 561 977 903 1035 904 1105 969 957 658
"103" "RQC00668940" 17.9692 -66.3772 9.1 98 90 101 206 392 225 245 374 675 649 430 142
"104" "RQC00669421" 18.4333 -66.2667 7.9 488 327 258 640 750 378 697 683 596 581 694 684
"105" "RQC00669432" 18.1731 -66.4928 868.1 326 301 378 926 1127 598 500 955 1430 1515 868 370
"106" "RQC00669521" 18.3283 -66.0164 35.1 447 323 327 550 721 445 628 732 836 728 752 567
"107" "RQC00669608" 18.2617 -66.6864 158.5 264 238 336 741 932 516 481 907 844 990 565 364
"108" "RQC00669774" 18.1094 -66.5056 120.4 174 166 214 439 706 441 347 637 920 1025 537 156
"109" "RQC00669860" 18.0436 -66.8606 53.9 177 167 224 379 503 224 314 500 740 786 510 224
"110" "RQW00011603" 18.4981 -67.1294 66.4 306 266 257 414 650 422 408 528 560 750 502 409
"111" "RQW00011630" 18.255 -65.6408 10.1 264 237 203 298 607 419 461 431 634 632 596 452
"112" "RQW00011641" 18.4325 -66.0108 2.7 376 239 195 468 590 441 507 546 577 559 635 502
"113" "USC00010008" 31.5703 -85.2483 139 530 507 580 377 382 520 594 463 353 311 461 473
"114" "USC00010063" 34.2553 -87.1814 249.3 503 529 525 478 548 483 483 375 427 377 505 591
"115" "USC00010140" 32.2322 -87.4103 53.3 501 530 564 412 392 436 495 422 347 341 493 498
"116" "USC00010160" 32.9453 -85.9481 195.1 521 535 549 411 433 445 531 450 410 308 479 490
"117" "USC00010178" 33.1272 -88.155 59.4 524 559 527 486 460 488 499 357 376 397 484 460
"118" "USC00010184" 33.21 -88.2878 50.3 525 534 472 491 432 453 400 355 325 361 479 487
"119" "USC00010252" 31.3072 -86.5225 76.2 518 530 635 417 389 530 616 565 462 371 473 491
"120" "USC00010260" 34.9092 -87.2747 208.8 497 527 512 464 538 444 460 432 462 375 494 588
"121" "USC00010369" 33.2942 -85.7789 311.5 518 589 585 449 472 435 511 447 373 395 514 527
"122" "USC00010390" 34.7753 -86.9508 210 559 480 509 475 516 469 433 339 409 381 506 613
"123" "USC00010402" 31.1819 -87.4389 91.4 583 539 594 436 514 541 699 549 457 343 510 504
"124" "USC00010425" 32.5992 -85.4653 166.1 502 509 591 434 377 512 437 394 323 375 441 462
"125" "USC00010430" 32.6 -85.5 198.7 454 436 585 384 325 461 609 322 444 319 428 488
"126" "USC00010440" 32.4706 -86.68 61 504 466 547 390 396 381 487 426 368 312 433 446
"127" "USC00010505" 33.4528 -87.3572 85.3 599 568 569 458 467 507 557 405 401 415 517 521
"128" "USC00010583" 30.8839 -87.7853 82.6 597 538 566 475 581 646 814 644 582 376 520 551
"129" "USC00010655" 34.6908 -86.8825 182.9 508 476 484 439 475 429 394 329 389 343 483 572
"130" "USC00010748" 33.6972 -87.6492 157.9 538 554 530 501 513 486 514 373 409 375 512 538
"131" "USC00010764" 33.3953 -87.0078 135.6 553 515 561 462 504 451 507 372 385 374 508 520
"132" "USC00010957" 34.2008 -86.1633 326.1 506 496 507 469 455 440 493 380 380 358 476 476
"133" "USC00011080" 31.1414 -87.0486 48.8 639 584 676 511 512 653 746 665 567 415 550 555
"134" "USC00011084" 31.0581 -87.0547 25.9 590 547 626 461 497 604 677 639 563 365 534 482
"135" "USC00011099" 34.9786 -85.8008 204.2 597 552 526 495 505 457 562 384 452 360 538 583
"136" "USC00011178" 31.7056 -85.8369 138.7 435 501 632 442 323 530 587 528 397 346 550 465
"137" "USC00011288" 33.0944 -86.7456 161.5 519 555 502 503 442 418 427 379 436 310 492 545
"138" "USC00011301" 32.0289 -87.3167 71.6 554 509 593 412 432 425 556 415 357 286 532 514
"139" "USC00011324" 32.8236 -85.6561 207.3 482 502 580 418 360 415 551 406 368 332 456 496
"140" "USC00011377" 33.8464 -87.4872 136.6 568 509 527 482 464 466 543 397 437 393 459 517
"141" "USC00011490" 34.15 -85.6847 182.9 521 526 526 427 434 434 474 441 373 339 448 467
"142" "USC00011620" 33.285 -86.3431 127.4 518 569 511 437 437 431 424 355 386 335 466 478
"143" "USC00011690" 31.6167 -87.55 15.2 537 503 552 372 397 410 456 409 357 282 505 503
"144" "USC00011694" 32.8203 -86.6522 185.9 535 560 572 469 411 493 555 393 384 346 534 536
"145" "USC00011810" 31.7556 -88.1283 14 542 461 519 384 466 472 464 404 339 312 460 471
"146" "USC00012096" 34.1925 -86.7972 247.2 559 564 493 491 533 458 450 411 455 372 485 591
"147" "USC00012172" 30.2506 -88.0775 2.4 529 530 531 427 441 514 623 719 538 385 414 487
"148" "USC00012245" 32.5192 -87.88 30.5 544 537 504 445 413 414 468 460 369 354 462 482
"149" "USC00012377" 31.1942 -85.3708 83.8 523 507 583 394 366 543 612 477 378 327 436 445
"150" "USC00012577" 31.4239 -86.0667 59.4 534 519 634 397 442 570 596 449 412 353 463 435
"151" "USC00012675" 31.2975 -85.8997 102.7 531 460 585 399 359 500 599 452 384 303 411 448
"152" "USC00012730" 32.0111 -85.09 70.1 451 453 574 361 326 460 515 357 362 296 410 449
"153" "USC00012758" 31.445 -86.9533 88.4 567 533 614 446 452 552 651 507 431 355 488 506
"154" "USC00012813" 30.5467 -87.8808 7 564 556 573 444 491 660 805 720 594 425 498 457
"155" "USC00012840" 34.3667 -86.8833 190.5 530 465 504 424 477 462 411 403 388 401 432 507
"156" "USC00012883" 33.6847 -87.8214 111.3 545 532 546 490 453 492 420 384 336 363 481 508
"157" "USC00013043" 34.4406 -85.7236 279.5 499 508 461 400 471 402 611 397 312 306 521 525
"158" "USC00013154" 34.0219 -85.9878 172.2 527 499 515 464 464 437 472 388 396 365 496 436
"159" "USC00013160" 32.8347 -88.1342 38.1 512 534 535 454 407 414 446 341 325 381 461 456
"160" "USC00013251" 31.0383 -85.8708 44.2 549 531 619 408 368 579 580 503 425 352 524 473
"161" "USC00013271" 31.6772 -86.8061 91.4 548 490 623 400 432 520 533 544 482 356 513 477
"162" "USC00013430" 33.6667 -87.1833 106.7 551 553 579 429 442 459 447 392 400 353 495 484
"163" "USC00013511" 32.7019 -87.5817 67.1 520 559 491 464 457 374 451 370 396 337 459 470
"164" "USC00013519" 31.79 -86.6086 104.2 527 486 610 397 394 500 579 476 417 364 520 466
"165" "USC00013573" 34.3344 -86.3297 176.2 495 531 497 445 447 404 434 397 380 332 446 525
"166" "USC00013575" 34.3347 -86.3294 181.4 528 594 548 418 478 340 429 387 436 338 479 505
"167" "USC00013620" 34.2314 -87.6353 280.4 547 556 521 515 622 483 508 435 433 415 572 618
"168" "USC00013645" 34.0967 -87.9914 132.6 526 549 480 517 630 495 475 401 388 383 520 608
"169" "USC00013655" 34.0675 -86.7917 180.4 539 549 514 510 542 435 460 347 420 375 503 492
"170" "USC00013761" 31.3625 -85.3397 112.8 523 501 541 363 335 496 584 423 419 340 417 435
"171" "USC00013775" 33.6483 -85.6006 259.1 509 576 532 442 495 431 550 355 327 345 471 472
"172" "USC00013781" 33.2725 -86.8336 146.3 513 551 503 470 471 488 469 453 370 366 452 397
"173" "USC00013816" 31.8814 -86.2503 132 492 507 605 395 386 516 512 506 372 329 502 450
"174" "USC00013930" 33.2533 -87.45 59.4 500 515 464 387 402 440 423 361 324 331 464 435
"175" "USC00014080" 32.2464 -85.4142 122.5 472 430 575 396 363 349 547 337 331 340 470 430
"176" "USC00014193" 31.5253 -87.9278 67.1 526 556 603 402 487 517 568 501 417 349 542 550
"177" "USC00014209" 33.8164 -85.7661 209.7 489 504 510 430 434 427 475 348 359 327 446 427
"178" "USC00014226" 33.9047 -87.3153 148.1 553 572 543 499 535 487 516 333 426 400 535 568
"179" "USC00014274" 32.3236 -86.7828 44.5 499 498 583 380 368 387 513 354 381 286 468 474
"180" "USC00014306" 32.6189 -86.2544 88.4 411 510 423 402 332 385 472 310 362 294 430 426
"181" "USC00014431" 31.2403 -86.1947 82.3 583 485 646 390 473 534 634 462 442 387 482 466
"182" "USC00014502" 32.9069 -85.4336 225.6 502 507 572 455 427 418 512 420 371 328 458 485
"183" "USC00014603" 32.9633 -86.5203 128 484 487 461 362 364 432 478 323 342 321 421 439
"184" "USC00014619" 33.5444 -86.5275 193.9 506 513 518 440 475 496 539 432 449 378 502 474
"185" "USC00014798" 32.5811 -88.1897 39 524 532 500 452 492 448 543 451 324 373 483 486
"186" "USC00014866" 33.4258 -86.3386 137.2 510 512 479 392 442 431 507 376 413 311 392 421
"187" "USC00015112" 32.7028 -87.2681 52.4 530 591 533 443 416 375 513 413 379 357 516 496
"188" "USC00015116" 32.4444 -87.1797 61.6 89 104 253 59 86 246 157 0 158 38 159 5
"189" "USC00015121" 32.4714 -87.2314 61 516 519 508 433 362 443 520 407 379 307 475 498
"190" "USC00015397" 32.0597 -85.4953 151.8 466 462 601 417 414 478 436 412 322 290 460 419
"191" "USC00015420" 32.1003 -87.3983 35.1 507 518 522 378 370 400 455 365 326 290 457 486
"192" "USC00015439" 32.4419 -85.8889 65.5 470 494 605 401 404 434 494 412 364 307 491 445
"193" "USC00015465" 32.8044 -86.4464 106.7 519 515 570 378 356 403 450 325 373 356 496 473
"194" "USC00015537" 33.0981 -86.8658 125 506 564 500 449 432 495 557 400 463 353 505 508
"195" "USC00015553" 32.26 -86.2181 68.6 462 508 547 397 365 462 527 422 364 305 467 454
"196" "USC00015635" 34.4883 -87.2989 189.6 518 528 511 461 565 440 434 366 386 392 512 603
"197" "USC00015658" 32.9964 -87.6319 36.6 534 566 542 494 399 434 512 382 391 373 509 467
"198" "USC00015752" 34.7889 -87.5394 162.8 486 483 492 486 610 484 470 337 415 383 500 580
"199" "USC00016000" 33.3264 -86.7561 176.8 528 540 534 457 506 548 524 430 449 374 496 505
"200" "USC00016121" 33.9478 -86.4692 271.9 529 550 498 436 473 467 547 331 361 350 490 509
"201" "USC00016129" 32.6592 -85.4492 195.1 479 532 623 430 338 461 528 406 358 360 474 484
"202" "USC00016196" 34.5528 -86.445 179.8 538 513 522 423 498 457 464 350 418 357 486 556
"203" "USC00016246" 33.745 -86.6417 220.1 510 519 533 456 496 493 505 353 427 366 493 474
"204" "USC00016334" 32.2258 -88.0281 25.9 538 574 603 422 460 497 537 396 446 325 504 503
"205" "USC00016436" 31.8817 -86.9861 80.8 541 512 599 425 395 443 515 405 406 356 513 502
"206" "USC00016478" 33.6906 -86.685 185.3 497 496 542 454 491 431 462 368 365 342 497 464
"207" "USC00016847" 33.3753 -88.02 72.5 569 576 517 479 432 473 471 394 344 385 519 513
"208" "USC00016988" 30.5653 -87.7017 49.1 563 525 603 462 443 637 814 705 572 414 526 468
"209" "USC00017020" 32.8711 -86.1758 182.9 537 573 563 457 419 382 540 490 396 289 505 507
"210" "USC00017025" 33.1581 -85.2911 228.6 402 504 515 403 346 546 565 385 379 286 451 514
"211" "USC00017131" 34.51 -87.7319 253 492 522 475 490 600 387 486 374 387 363 493 593
"212" "USC00017157" 34.1736 -86.8133 243.8 569 572 533 487 545 450 444 394 445 394 518 562
"213" "USC00017207" 34.2878 -85.9681 362.7 505 504 508 451 436 419 458 371 411 318 492 492
"214" "USC00017304" 34.6736 -86.0536 187.5 558 537 513 441 503 399 472 421 417 344 517 572
"215" "USC00017326" 32.3217 -85.1683 129.5 455 462 586 360 332 424 474 403 359 314 436 455
"216" "USC00017366" 32.4111 -87.0144 44.8 475 503 547 393 326 407 472 442 332 268 455 489
"217" "USC00017947" 33.8997 -88.1325 106.7 544 531 487 498 612 443 446 391 379 402 494 585
"218" "USC00017999" 33.2053 -86.2114 149.4 488 551 531 431 426 425 485 379 397 347 480 485
"219" "USC00018024" 33.4164 -86.135 136.6 516 577 543 433 471 470 487 386 351 363 503 455
"220" "USC00018038" 32.4392 -86.2025 53.9 413 481 521 381 355 420 430 356 294 266 395 440
"221" "USC00018178" 31.9172 -87.7347 118.9 558 510 582 403 443 462 612 396 414 354 524 523
"222" "USC00018209" 32.9206 -86.6708 207.3 509 553 566 445 404 445 508 421 383 325 495 470
"223" "USC00018323" 31.8075 -85.9722 165.2 459 426 586 401 355 513 535 422 355 304 423 426
"224" "USC00018380" 33.2119 -87.6161 51.5 537 561 484 432 414 450 510 376 356 380 521 474
"225" "USC00018385" 33.2097 -87.5936 46.3 517 531 470 425 411 455 419 376 320 365 456 440
"226" "USC00018438" 32.0142 -85.7464 134.1 481 460 605 395 408 522 532 448 412 306 506 467
"227" "USC00018469" 34.5667 -85.6128 323.7 544 553 504 454 465 413 522 352 442 343 499 506
"228" "USC00018517" 33.7392 -88.1275 90.8 544 565 560 493 558 453 456 278 346 376 548 556
"229" "USC00018605" 33.1167 -85.5667 205.7 506 547 574 394 422 454 495 295 347 348 459 445
"230" "USC00018608" 33.1361 -85.5869 216.4 484 505 538 447 435 469 483 450 353 376 446 517
"231" "USC00018648" 34.0661 -86.3069 259.1 550 540 505 459 481 512 424 391 415 366 460 485
"232" "USC00018653" 32.7028 -85.8936 125 518 555 641 408 369 454 570 448 425 314 431 486
"233" "USC00018673" 32.7744 -87.8306 33.5 562 565 539 496 426 407 517 402 355 356 492 485
"234" "USC00018755" 34.1322 -85.7925 179.8 492 487 468 415 380 407 427 338 319 326 491 447
"235" "USC00018809" 33.1186 -87.1267 152.4 559 579 542 438 452 493 502 376 458 361 533 499
"236" "USC00018812" 34.2447 -86.9586 293.2 547 513 549 441 644 473 512 351 405 379 503 536
"237" "USC00018859" 32.5906 -86.2103 78.3 445 527 566 388 337 422 493 430 337 290 420 474
"238" "USC00018867" 31.6508 -87.7097 51.8 573 566 597 418 429 526 631 372 426 329 504 577
"239" "USC00018998" 33.9111 -87.8475 142.6 557 582 523 516 555 533 444 401 364 408 533 610
"240" "USC00020060" 33.9433 -113.1875 659.9 87 136 93 18 10 12 104 124 77 89 54 84
"241" "USC00020080" 32.3697 -112.86 539.5 83 73 70 25 4 3 71 151 51 40 34 79
"242" "USC00020100" 34.2281 -113.5778 393.2 103 120 85 26 10 7 64 174 87 66 73 67
"243" "USC00020159" 33.8492 -109.1469 2453.6 126 119 116 74 75 95 399 466 228 197 135 164
"244" "USC00020174" 33.7383 -109.1167 2051.3 194 149 131 85 80 73 326 361 246 202 155 204
"245" "USC00020287" 31.9792 -111.3831 838.2 80 73 61 30 24 23 262 248 130 70 50 90
"246" "USC00020288" 33.4625 -111.4814 630.9 169 160 162 56 29 10 112 163 112 76 121 158
"247" "USC00020380" 31.5722 -111.335 1103.4 130 134 114 52 28 45 415 425 171 118 80 157
"248" "USC00020404" 32.7306 -111.6917 464.8 103 101 106 33 20 12 126 146 87 71 71 107
"249" "USC00020498" 33.0869 -111.2864 472.4 119 128 143 48 15 3 91 158 95 58 64 109
"250" "USC00020586" 34.5972 -113.1739 1205.5 211 236 187 81 30 28 122 231 163 112 105 165
"251" "USC00020632" 33.8097 -111.6497 502.9 176 172 180 63 29 16 139 195 116 112 116 167
"252" "USC00020670" 34.6417 -111.7831 1074.4 140 151 175 69 35 9 175 209 196 116 118 127
"253" "USC00020672" 36.8969 -113.9425 571.5 88 108 81 39 21 22 53 59 42 71 54 80
"254" "USC00020678" 35.23 -111.8214 2179.9 204 248 164 129 60 22 236 324 146 178 131 173
"255" "USC00020683" 31.8806 -110.2403 1124.7 72 68 64 35 22 47 281 304 128 96 49 104
"256" "USC00020750" 36.6778 -110.5411 2220.8 148 106 117 85 51 25 118 171 124 111 102 122
"257" "USC00020775" 31.4475 -109.9289 1694.7 147 130 94 50 30 75 421 420 180 109 107 142
"258" "USC00020808" 33.4783 -109.7517 1848.6 194 167 156 72 58 52 365 340 202 141 114 166
"259" "USC00020871" 34.6108 -111.1922 2097 200 181 211 90 64 32 272 325 216 160 134 190
"260" "USC00020949" 33.9431 -114.0242 281.9 68 79 56 20 11 3 44 95 58 40 39 61
"261" "USC00020958" 32.325 -109.4917 1151.2 107 86 59 29 40 40 224 213 102 114 79 117
"262" "USC00021001" 36.2147 -112.062 2438.4 382 307 299 184 62 40 192 281 182 182 192 165
"263" "USC00021026" 33.3761 -112.5828 271.3 84 95 90 24 13 7 111 155 88 39 65 105
"264" "USC00021050" 35.1411 -114.5686 161.8 95 105 78 18 5 2 27 77 34 54 43 60
"265" "USC00021231" 31.5589 -110.5294 1527 152 114 103 58 25 63 432 403 177 118 88 153
"266" "USC00021248" 36.1533 -109.5394 1709.9 71 82 67 61 43 33 123 134 97 90 74 83
"267" "USC00021282" 33.8161 -111.9019 771.1 190 172 189 62 14 9 104 138 92 111 82 144
"268" "USC00021306" 32.8878 -111.7117 427.6 86 93 103 27 20 18 90 172 73 52 56 114
"269" "USC00021314" 32.9947 -111.5367 432.5 98 104 107 35 23 5 110 128 75 63 61 109
"270" "USC00021330" 32.3222 -110.4147 973.5 118 116 90 36 31 30 266 288 130 99 68 118
